vendor_id,customer_id,sale_date,sale_amount,product_name
1,1,8/4/2021,951.7,Pasta Salad Kit
2,2,6/24/2021,7263.31,Portable Laptop Table
3,3,2/22/2021,9536.46,Caramel Apple Taffy
4,4,4/16/2021,1472.41,Deluxe First Aid Kit
5,5,9/5/2021,105.9,Sweet Chili Thai Sauce
6,6,3/17/2021,1136.33,Smartphone Tripod with Remote
7,7,7/22/2021,4812.75,Italian Herb Balsamic Marinade
8,8,4/8/2021,3521.6,Marinara Sauce
9,9,9/22/2021,7799.49,Adjustable Kneeling Pad
10,10,1/23/2021,338.2,Natural Soy Candles
11,11,1/10/2021,2057.48,Beef Sirloin Steak
12,12,8/21/2021,5344.33,Lemon Herb Quinoa
13,13,12/9/2021,2771.89,Portable Campfire
14,14,11/21/2021,8162.25,Kids' Dinosaur-Themed Lunchbox
15,15,12/12/2021,1077.8,Gluten-Free Pancake Mix
16,16,5/28/2021,8667.9,Homestyle Chicken Noodle Soup
17,17,2/13/2021,5293.0,Outdoor Sports Backpack
18,18,11/15/2021,7581.22,Garden Tool Set with Carrying Bag
19,19,11/5/2021,3287.17,Cold Brew Coffee Concentrate
20,20,11/5/2021,1812.85,Skincare Set
21,21,10/9/2021,1902.82,Lentil Vegetable Curry
22,22,1/10/2021,4553.0,Lemon Herb Chicken
23,23,2/20/2021,7228.2,Compact Hair Dryer
24,24,10/10/2021,4452.56,Cranberry Almond Cookies
25,25,9/10/2021,1613.93,Luxury Bathrobe
26,26,3/28/2021,8697.24,Kettle BBQ Grill
27,27,2/8/2021,6940.36,Kids' Trampoline
28,28,9/23/2021,4431.4,Handcrafted Wooden Jewelry Box
29,29,7/3/2021,357.23,Insulated Lunch Bag
30,30,8/19/2021,4667.68,Spicy Roasted Nuts
31,31,6/13/2021,8799.94,Sporty Cap
32,32,5/30/2021,5896.88,Outdoor Folding Table
33,33,3/30/2021,4831.06,Classic Caesar Salad Kit
34,34,7/10/2021,333.82,Pasta Portion Control Measure
35,35,1/13/2021,8973.7,Insulated Lunch Box
36,36,2/12/2021,4740.82,Reusable Snack Bags
37,37,7/28/2021,9783.93,Pet Bed
38,38,9/21/2021,2624.02,Magic Color-Changing Mug
39,39,12/21/2021,446.7,Window A/C Unit
40,40,4/6/2021,4622.16,Luxury Rolling Makeup Case
41,41,5/23/2021,4021.8,Spaghetti and Meatball Dinner Kit
42,42,10/12/2021,3260.96,Pet Tracking Collar
43,43,12/14/2021,7396.21,Hand Crank Blender
44,44,12/27/2021,6741.94,Tomato Basil Pasta Sauce
45,45,10/25/2021,8445.39,Raspberry Limeade
46,46,3/20/2021,3215.11,Peach Mango Smoothie
47,47,4/4/2021,1563.21,Balsamic Vinegar
48,48,7/20/2021,2626.2,Outdoor Picnic Blanket
49,49,5/21/2021,2642.52,Portable Bluetooth Speaker
50,50,9/13/2021,3095.3,Plaid Flannel Shirt
51,51,8/15/2021,5013.86,Chocolate Chip Cookie Dough
52,52,8/17/2021,2161.69,Curried Lentil Salad
53,53,9/13/2021,5590.65,Organic Vanilla Bean Ice Cream
54,54,10/14/2021,1116.35,Low-Fat Yogurt
55,55,1/3/2021,1037.33,Maple Pecan Granola
56,56,10/26/2021,5024.63,Party Mini Dress
57,57,7/4/2021,3176.05,Fruit and Nut Medley
58,58,5/3/2021,2010.34,Almond Milk
59,59,10/28/2021,7822.4,Wrist Support Brace
60,60,7/16/2021,3212.05,Children's Educational Puzzle
61,61,3/23/2021,2795.09,Compact Shoe Rack
62,62,3/26/2021,8868.48,Travel Makeup Organizer
63,63,9/20/2021,4906.01,Smart Fitness Scale
64,64,9/6/2021,403.84,Skincare Set
65,65,10/24/2021,1125.3,Pasta (Linguine)
66,66,12/15/2021,8184.44,Pet Waterer with Filtration
67,67,6/9/2021,7558.51,Hand Crank Blender
68,68,11/1/2021,2720.17,Kale and Quinoa Salad
69,69,4/4/2021,6560.86,Coconut Curry Sauce
70,70,3/5/2021,7710.11,Pet Grooming Gloves
71,71,3/19/2021,8252.95,Sweet Potato & Kale Hash
72,72,5/9/2021,8436.06,Beach Cover-Up
73,73,7/26/2021,5011.2,Spinach and Ricotta Ravioli
74,74,5/27/2021,5752.1,Action Camera
75,75,6/20/2021,6420.03,Garden Kneeler and Seat
76,76,10/14/2021,9961.34,Herbal Garden Starter Kit
77,77,6/11/2021,4559.06,Personal Blender
78,78,11/30/2021,25.68,Memory Foam Pillow
79,79,3/8/2021,2994.03,Dog Collar
80,80,2/19/2021,6832.49,Silicone Baking Mats
81,81,7/7/2021,9156.46,Homemade Salsa
82,82,7/18/2021,9908.35,Mediterranean Flatbread
83,83,8/4/2021,7084.3,Coconut Rice
84,84,12/22/2021,1809.85,Tactical Backpack
85,85,12/10/2021,3316.16,Italian Sausage Links
86,86,12/29/2021,9193.74,Smart Scale
87,87,3/28/2021,5285.95,Raisin Cinnamon Granola
88,88,8/27/2021,8834.76,Chili Beans (canned)
89,89,11/5/2021,5119.49,Himalayan Pink Salt
90,90,12/12/2021,8970.6,Pomegranate Juice
91,91,12/2/2021,814.14,Classic Caesar Salad Kit
92,92,10/4/2021,7616.84,Coconut Chips
93,93,3/26/2021,660.13,Trainers with Mesh Inserts
94,94,4/25/2021,9013.95,Vegetable and Cheese Quesadillas
95,95,6/10/2021,5764.53,Chickpeas
96,96,12/3/2021,4230.02,Vegetarian Stir Fry Sauce
97,97,4/12/2021,5794.92,Indian Curry Sauce
98,98,9/20/2021,7460.29,Digital Meat Thermometer
99,99,1/16/2021,1856.9,Organic Whole Grain Oats
100,100,10/10/2021,5814.56,Mango Chili Salsa
